"Entrez id",SysID,"Chromosome location","Gene type","Gene symbol","Gene group","Gene description","Super go",Hpsd,"Flybase id","Gene name","Orthology determination","Wing phenotype overview","Neuronal phenotype overview","Inheritance pattern","Inheritance type","Main class ","Accompanying phenotype","Limited confidence criterion","Sysid yes no","Disease subtype","Disease type","Omim disease","Haploinsufficiency yes no","Clinical synopsis"
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0014028,"Succinate dehydrogenase B",ensembl,,,"Mendelian autosomal",dominant,,,0,0,PHEOCHROMOCYTOMA,PHEOCHROMOCYTOMA,171300,0,-
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0014028,"Succinate dehydrogenase B",ensembl,,,"Mendelian autosomal",dominant,,,0,0,"PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA","PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA",606864,0,-
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0014028,"Succinate dehydrogenase B",ensembl,,,"Mendelian autosomal",dominant,,,0,0,"COWDEN SYNDROME 2; CWS2","COWDEN SYNDROME",612359,0,-
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0014028,"Succinate dehydrogenase B",ensembl,,,"Mendelian autosomal",dominant,,,0,0,"GASTROINTESTINAL STROMAL TUMOR; GIST","GASTROINTESTINAL STROMAL TUMOR",606764,0,-
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0030975,,ensembl,,,"Mendelian autosomal",recessive,8b,"G, H, L2, M, Q",1,1,"LEUKODYSTROPHY AND ISOLATED MITOCHONDRIAL COMPLEX II DEFICIENCY","LEUKODYSTROPHY AND ISOLATED MITOCHONDRIAL COMPLEX II DEFICIENCY",,0,"2 patients:  hypotonia, delay, leukodystrophy, 1/2 cardiomyopathy, enzymatic anomalies"
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0030975,,ensembl,,,"Mendelian autosomal",dominant,,,0,0,"PARAGANGLIOMAS 4; PGL4",PARAGANGLIOMAS,115310,0,-
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0030975,,ensembl,,,"Mendelian autosomal",dominant,,,0,0,PHEOCHROMOCYTOMA,PHEOCHROMOCYTOMA,171300,0,-
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0030975,,ensembl,,,"Mendelian autosomal",dominant,,,0,0,"PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA","PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA",606864,0,-
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0030975,,ensembl,,,"Mendelian autosomal",dominant,,,0,0,"COWDEN SYNDROME 2; CWS2","COWDEN SYNDROME",612359,0,-
6390,SysID_0514,1p36.1-p35,protein-coding,SDHB,"ID candidate genes","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",mitochondria,0,FBgn0030975,,ensembl,,,"Mendelian autosomal",dominant,,,0,0,"GASTROINTESTINAL STROMAL TUMOR; GIST","GASTROINTESTINAL STROMAL TUMOR",606764,0,-
22941,SysID_0316,11q13.2,protein-coding,SHANK2,"ID candidate genes","SH3 and multiple ankyrin repeat domains 2","Cilia, glutamate receptor signaling, ion transport, nervous system development, synapse, transporters",1,FBgn0040752,Prosap,"ensembl, manually curated","phenotype, phenotype, phenotype","phenotype, no phenotype, lethal, no phenotype","Mendelian autosomal",dominant,,,0,1,"AUTISM, SUSCEPTIBILITY TO, 17; AUTS17","AUTISM, SUSCEPTIBILITY TO",613436,0,"1 patient: mild to moderate ID or autism, incomplete penetrance"
27286,SysID_0342,Xq22.1,protein-coding,SRPX2,"ID candidate genes","sushi-repeat containing protein, X-linked 2","metabolism, nervous system development, synapse",0,,,,,,"Mendelian X-linked","not sure",5,"E, H",0,1,"ROLANDIC EPILEPSY, MENTAL RETARDATION, AND SPEECH DYSPRAXIA, X-LINKED; RESDX","ROLANDIC EPILEPSY, MENTAL RETARDATION, AND SPEECH DYSPRAXIA, X-LINKED",300643,0,"oral and speech dyspraxia, rolandic seizures, ID, both males and females affected"
255928,SysID_0430,1q32.2,protein-coding,SYT14,"ID candidate genes","synaptotagmin XIV",,0,FBgn0261086,"Synaptotagmin 14",ensembl,,,"Mendelian autosomal",recessive,5,"G, H, L2",1,1,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 11; SCAR11","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE",614229,0,"2 brothers, 1 with mild ID, the other with severe ID, adult onset progressive gait disorder, dysarthria, ataxia, isturbance of smooth eye movements; MRI: mild atrophy of the cerebellar vermis and hemispheres"
7592,SysID_0382,Xp11.23,protein-coding,ZNF41,"ID candidate genes","zinc finger protein 41","metabolism, RNA metabolism, transcription",0,,,,,,"Mendelian X-linked","not sure",,,1,1,"MENTAL RETARDATION, X-LINKED 89; MRX89","MENTAL RETARDATION, X-LINKED",300848,0,"1 girl with severe developmental delay and balanced translocation through the gene; 2 males from 1 family: later also truncating variants in healthy males, therefore questionable"
347344,SysID_0386,Xp11.23,protein-coding,ZNF81,"ID candidate genes","zinc finger protein 81","metabolism, RNA metabolism, transcription",0,,,,,,"Mendelian X-linked","not sure",,,1,1,"MENTAL RETARDATION, X-LINKED 45; MRX45","MENTAL RETARDATION, X-LINKED",300498,0,"1 patient with disruptive translocation; 1 family, mild to severe ID, large ears, relatively large hands; short stature, large testes in some, but variant also hemiyzgous in ExAC"
85476,SysID_1994,3q25,protein-coding,GFM1,"ID candidate genes","G elongation factor, mitochondrial 1",mitochondria,0,FBgn0243517,iconoclast,"manually curated","phenotype, phenotype","phenotype, no phenotype","Mendelian autosomal",recessive,,,0,1,"COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY",609060,0,"(hepato)encephalopathy, early lethality"
85476,SysID_1994,3q25,protein-coding,GFM1,"ID candidate genes","G elongation factor, mitochondrial 1",mitochondria,0,FBgn0263133,iconoclast,ensembl,,,"Mendelian autosomal",recessive,,,0,1,"COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY",609060,0,"(hepato)encephalopathy, early lethality"
4703,SysID_1995,2q22,protein-coding,NEB,"ID candidate genes",nebulin,actin,0,FBgn0063485,Lasp,"manually curated","phenotype, phenotype","no phenotype, no phenotype","Mendelian autosomal",recessive,,,0,0,"ID, epilepsy, muscular weakness","ID, epilepsy, muscular weakness",,0,"intellectual disability, epilepsy and early-childhood-onset generalized muscle weakness"
4703,SysID_1995,2q22,protein-coding,NEB,"ID candidate genes",nebulin,actin,0,FBgn0063485,Lasp,"manually curated","phenotype, phenotype","no phenotype, no phenotype","Mendelian autosomal",recessive,,,0,0,"NEMALINE MYOPATHY 8; NEM8","NEMALINE MYOPATHY",615348,0,
84320,SysID_0525,1q25.3,protein-coding,ACBD6,"ID candidate genes","acyl-CoA binding domain containing 6",,0,,,,,,"Mendelian autosomal",recessive,5,"B, H",1,1,"ID with microcephaly and spasticity","ID with microcephaly and spasticity",,0,"fs mutation in 4 affected from 1 family: mild ID, microcephaly, facial dysmorphism, spasticity"
151,SysID_0529,2q11.1,protein-coding,ADRA2B,"ID candidate genes","adrenoceptor alpha 2B","MAPK signaling, metabolism, nervous system development, transporters",0,,,,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variant: non-syndromic moderate ID"
151,SysID_0529,2q11.1,protein-coding,ADRA2B,"ID candidate genes","adrenoceptor alpha 2B","MAPK signaling, metabolism, nervous system development, transporters",0,,,,,,"Mendelian autosomal",dominant,,,0,0,"EPILEPSY, FAMILIAL ADULT MYOCLONIC, 2; FAME2","EPILEPSY, FAMILIAL ADULT MYOCLONIC",607876,0,
120534,SysID_0534,11p14.1,protein-coding,ARL14EP,"ID candidate genes","ADP-ribosylation factor-like 14 effector protein",,0,FBgn0033000,-,ensembl,,,"Mendelian autosomal",recessive,"5, 6",,1,1,"non-syndromic ID","non-syndromic ID",,0,"2 affected from 1 family: non-syndromic moderate ID; 1 patient: global developmental delay, microcephaly, truncal obesity, facial dysmorphism"
10973,SysID_0535,6q16,protein-coding,ASCC3,"ID candidate genes","activating signal cointegrator 1 complex subunit 3","DNA repair, metabolism, RNA metabolism, transcription",0,,,,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variant: non-syndromic mild ID"
429,SysID_0536,12q23.2,protein-coding,ASCL1,"ID candidate genes","achaete-scute family bHLH transcription factor 1","cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,FBgn0002561,"lethal of scute",ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"non-syndromic moderate ID"
429,SysID_0536,12q23.2,protein-coding,ASCL1,"ID candidate genes","achaete-scute family bHLH transcription factor 1","cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,FBgn0002561,"lethal of scute",ensembl,,,"Mendelian autosomal",dominant,,,0,0,"CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS","CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL",209880,0,
429,SysID_0536,12q23.2,protein-coding,ASCL1,"ID candidate genes","achaete-scute family bHLH transcription factor 1","cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,FBgn0004170,scute,ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"non-syndromic moderate ID"
429,SysID_0536,12q23.2,protein-coding,ASCL1,"ID candidate genes","achaete-scute family bHLH transcription factor 1","cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,FBgn0004170,scute,ensembl,,,"Mendelian autosomal",dominant,,,0,0,"CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS","CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL",209880,0,
429,SysID_0536,12q23.2,protein-coding,ASCL1,"ID candidate genes","achaete-scute family bHLH transcription factor 1","cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,FBgn0000022,achaete,ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"non-syndromic moderate ID"
429,SysID_0536,12q23.2,protein-coding,ASCL1,"ID candidate genes","achaete-scute family bHLH transcription factor 1","cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,FBgn0000022,achaete,ensembl,,,"Mendelian autosomal",dominant,,,0,0,"CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS","CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL",209880,0,
429,SysID_0536,12q23.2,protein-coding,ASCL1,"ID candidate genes","achaete-scute family bHLH transcription factor 1","cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,FBgn0000137,asense,ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"non-syndromic moderate ID"
429,SysID_0536,12q23.2,protein-coding,ASCL1,"ID candidate genes","achaete-scute family bHLH transcription factor 1","cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,FBgn0000137,asense,ensembl,,,"Mendelian autosomal",dominant,,,0,0,"CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS","CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL",209880,0,
835,SysID_0545,7q34-q35,protein-coding,CASP2,"ID candidate genes","caspase 2, apoptosis-related cysteine peptidase","cell cycle, metabolism, mitochondria, nervous system development, response to growth factor",0,FBgn0026404,"Death regulator Nedd2-like caspase",ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"non-syndromic moderate ID"
890,SysID_0546,4q27,protein-coding,CCNA2,"ID candidate genes","cyclin A2","cell cycle, MAPK signaling, metabolism, RNA metabolism, small GTPase signaling, transcription",0,FBgn0000404,"Cyclin A",ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"splice mutation in 4 affected from 1 family: non-syndromic moderate ID"
1013,SysID_0547,16q24.3,protein-coding,CDH15,"ID candidate genes","cadherin 15, type 1, M-cadherin (myotubule)",synapse,0,,,,,,"Mendelian autosomal",dominant,6,,1,1,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 3; MRD3","MENTAL RETARDATION, AUTOSOMAL DOMINANT",612580,0,"1 translocation, 4 missense variants, unclear if de novo: variable ID"
1193,SysID_0549,Xq28,protein-coding,CLIC2,"ID candidate genes","chloride intracellular channel 2","cardiac muscle contraction, ion transport, transporters",0,FBgn0030529,"Chloride intracellular channel",ensembl,,,"Mendelian X-linked","not sure",2,"E, U",1,1,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 32; MRXS32","MENTAL RETARDATION, X-LINKED, SYNDROMIC",300886,0,"delayed psychomotor development, little or no speech development, seiizures, joint contractures, abnormal positioning of thumbs, 1 hydrocephalus, 1 spastic quadriplegia, heart problems in adulthood"
84274,SysID_0553,12q24.31,protein-coding,COQ5,"ID candidate genes","coenzyme Q5 homolog, methyltransferase (S. cerevisiae)",mitochondria,0,FBgn0030460,-,ensembl,,,"Mendelian autosomal",recessive,3,,1,1,"non-syndromic ID","non-syndromic ID",,0,"non-syndromic severe ID"
1933,SysID_0558,2q33.3,protein-coding,EEF1B2,"ID candidate genes","eukaryotic translation elongation factor 1 beta 2",,0,,,,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"splice mutation in 3 affected from 1 family: non-syndromic moderate ID"
2194,SysID_0565,17q25,protein-coding,FASN,"ID candidate genes","fatty acid synthase","metabolism, mitochondria",1,FBgn0040001,"Fatty acid synthase 3",ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variant: non-syndromic moderate ID"
2194,SysID_0565,17q25,protein-coding,FASN,"ID candidate genes","fatty acid synthase","metabolism, mitochondria",1,FBgn0040001,"Fatty acid synthase 3",ensembl,,,"Mendelian autosomal",dominant,,,0,1,"epileptic encephalopathy","epileptic encephalopathy",,0,"epileptic encephalopathy"
54856,SysID_0574,1q22,protein-coding,GON4L,"ID candidate genes","gon-4-like (C. elegans)","chromatin, metabolism, RNA metabolism, transcription",0,FBgn0085444,"muscle wasted",ensembl,,,"Mendelian autosomal",recessive,2,,1,1,"syndromic ID","syndromic ID",,0,"splice mutation in 4 affected from 1 family: severe ID, facial dysmorphism, malformed ears"
8366,SysID_0576,6p22.2,protein-coding,HIST1H4B,"ID candidate genes","histone cluster 1, H4b",,0,,,,,,"Mendelian autosomal",recessive,2,"B, T",1,1,"syndromic ID","syndromic ID",,0,"fs mutation in 2 affected from 1 family: moderate to severe ID, microcephaly, strabismus"
8290,SysID_0577,1q42,protein-coding,HIST3H3,"ID candidate genes","histone cluster 3, H3",chromatin,0,,,,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variant: non-syndromic moderate ID"
3631,SysID_0582,2q11.2,protein-coding,INPP4A,"ID candidate genes","inositol polyphosphate-4-phosphatase, type I, 107kDa",,0,FBgn0259166,-,ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"fs mutation in 3 affected from 1 family: non-syndromic moderate ID"
5927,SysID_0584,12p11,protein-coding,KDM5A,"ID candidate genes","lysine (K)-specific demethylase 5A","chromatin, metabolism, RNA metabolism, transcription",0,,,,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variant: non-syndromic moderate ID"
11043,SysID_0599,Xq22.3,protein-coding,MID2,"ID candidate genes","midline 2","metabolism, microtubule, RNA metabolism, transcription, ubiquitination",0,,,,,,"Mendelian X-linked","not sure",,,1,1,"MENTAL RETARDATION, X-LINKED 101; MRX101","MENTAL RETARDATION, X-LINKED",300928,0,"1 large family with 11 affected males: variable ID, seizures, speech difficulties, strabismus in 4; variant also 1x hemizygous in gnomAD"
142,SysID_0603,1q41-q42,protein-coding,PARP1,"ID candidate genes","poly (ADP-ribose) polymerase 1","DNA repair, glycosylation, metabolism, protein transport, response to growth factor, RNA metabolism, transcription, transporters",1,FBgn0010247,"Poly-(ADP-ribose) polymerase",ensembl,,,"Mendelian autosomal",recessive,2,H,1,1,"syndromic ID","syndromic ID",,0,"1fam with missense variant: severe ID, lower limb spasticity, hyperreflexia, pes cavus"
55825,SysID_0606,2q35,protein-coding,PECR,"ID candidate genes","peroxisomal trans-2-enoyl-CoA reductase","mitochondria, peroxisome",0,,,,,,"Mendelian autosomal",recessive,6,P,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variant: non-syndromic mild ID, ASD"
90826,SysID_0614,4q31.23,protein-coding,PRMT9,"ID candidate genes","protein arginine methyltransferase 9",,0,,,,,,"Mendelian autosomal",recessive,3,,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variant: non-syndromic moderate to severe ID"
5900,SysID_0618,9q34.3,protein-coding,RALGDS,"ID candidate genes","ral guanine nucleotide dissociation stimulator","MAPK signaling, metabolism, response to growth factor, small GTPase signaling",0,FBgn0026376,"Ral guanine nucleotide dissociation stimulator-like ortholog (M. musculus)",ensembl,,,"Mendelian autosomal",recessive,6,,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variant: non-syndromic moderate ID"
6000,SysID_0621,1q43|1q23.1,protein-coding,RGS7,"ID candidate genes","regulator of G-protein signaling 7",metabolism,1,FBgn0024941,"Regulator of G-protein signalling 7",ensembl,,,"Mendelian autosomal",recessive,6,P,1,1,"non-syndromic ID","non-syndromic ID",,0,"fs mutation in 3 affected from 1 family: non-syndromic mild ID, ASD"
1317,SysID_0627,9q32,protein-coding,SLC31A1,"ID candidate genes","solute carrier family 31 (copper transporter), member 1","ion transport, transporters",0,FBgn0062413,"Copper transporter 1A",ensembl,,,"Mendelian autosomal",recessive,2,H,1,1,"syndromic ID","syndromic ID",,0,"1 fam with mismsense  variant: severe ID, peripheral neuropathy"
1317,SysID_0627,9q32,protein-coding,SLC31A1,"ID candidate genes","solute carrier family 31 (copper transporter), member 1","ion transport, transporters",0,FBgn0062412,"Copper transporter 1B",ensembl,,,"Mendelian autosomal",recessive,2,H,1,1,"syndromic ID","syndromic ID",,0,"1 fam with mismsense  variant: severe ID, peripheral neuropathy"
65084,SysID_0642,11q14.2,protein-coding,TMEM135,"ID candidate genes","transmembrane protein 135",peroxisome,0,FBgn0037592,-,ensembl,,,"Mendelian autosomal",recessive,2,"B, T",1,1,"syndromic ID","syndromic ID",,0,"1 fam with missense variant: moderate to severe ID, microcephaly, congenital cataract"
65084,SysID_0642,11q14.2,protein-coding,TMEM135,"ID candidate genes","transmembrane protein 135",peroxisome,0,FBgn0051259,-,ensembl,,,"Mendelian autosomal",recessive,2,"B, T",1,1,"syndromic ID","syndromic ID",,0,"1 fam with missense variant: moderate to severe ID, microcephaly, congenital cataract"
65084,SysID_0642,11q14.2,protein-coding,TMEM135,"ID candidate genes","transmembrane protein 135",peroxisome,0,FBgn0051454,-,ensembl,,,"Mendelian autosomal",recessive,2,"B, T",1,1,"syndromic ID","syndromic ID",,0,"1 fam with missense variant: moderate to severe ID, microcephaly, congenital cataract"
55148,SysID_0648,14q32.12,protein-coding,UBR7,"ID candidate genes","ubiquitin protein ligase E3 component n-recognin 7 (putative)",,0,FBgn0032635,-,ensembl,,,"Mendelian autosomal",recessive,3,P,1,1,"non-syndromic ID","non-syndromic ID",,0,"1 fam with missense variatn: non-syndromic severe ID, ASD"
9923,SysID_0653,1p36,protein-coding,ZBTB40,"ID candidate genes","zinc finger and BTB domain containing 40","metabolism, RNA metabolism, transcription",0,,,,,,"Mendelian autosomal",recessive,2,B,1,1,"syndromic ID","syndromic ID",,0,"stop mutation in 3 affected from 1 family: moderate to severe ID, microcephaly"
55596,SysID_0655,12q24.31,protein-coding,ZCCHC8,"ID candidate genes","zinc finger, CCHC domain containing 8","RNA metabolism",0,FBgn0035021,-,ensembl,,,"Mendelian autosomal",recessive,3,,1,1,"non-syndromic ID","non-syndromic ID",,0,"stop mutation in 3 affected from 1 family: non-syndromic severe ID"
10157,,7q31.3,protein-coding,AASS,"ID candidate genes","aminoadipate-semialdehyde synthase",mitochondria,0,FBgn0025687,"Lysine ketoglutarate reductase/saccharopine dehydrogenase",ensembl,,,"Mendelian autosomal",recessive,,,0,0,HYPERLYSINEMIA,HYPERLYSINEMIA,238700,0,"hyperlysinemia, lysinuria, and variable saccharopinuria"
54715,,16p13.3,protein-coding,RBFOX1,"ID candidate genes","RNA binding protein, fox-1 homolog (C. elegans) 1","metabolism, RNA metabolism, transporters",0,FBgn0052062,"Ataxin-2 binding protein 1",ensembl,,,"Mendelian autosomal",dominant,,,0,0,ID/Epilepsy,ID/Epilepsy,,0,"epilepsy or MR"
