human_gene_id,entrez_id,sysid_id,chromosome_location,gene_type_id,gene_symbol,gene_description,gene_synonyms,omim_id,ensembl_id,hprd_id,hgnc_id,hpsd,human_gene_remark
17,175,SysID_0009,4q34.3,1,AGA,aspartylglucosaminidase,"AGU, ASRG, GA",613228,ENSG00000038002,01949,318,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
18,10555,SysID_0010,9q34.3,1,AGPAT2,"1-acylglycerol-3-phosphate O-acyltransferase 2","1-AGPAT2, BSCL, BSCL1, LPAAB, LPAAT-beta",603100,ENSG00000169692,04373,325,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
19,186,SysID_0011,Xq23,1,AGTR2,"angiotensin II receptor type 2","AT2, ATGR2, MRX88",300034,ENSG00000180772,02071,338,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
20,191,SysID_0012,20q11.22,1,AHCY,adenosylhomocysteinase,"SAHH, adoHcyase",180960,ENSG00000101444,01621,343,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
21,54806,SysID_0013,6q23.3,1,AHI1,"Abelson helper integration site 1","AHI-1, JBTS3, ORF1, dJ71N10.1",608894,ENSG00000135541,10597,21575,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
22,9131,SysID_0471,Xq26.1,1,AIFM1,"apoptosis inducing factor mitochondria associated 1","AIF, AUNX1, CMT2D, CMTX4, COWCK, COXPD6, DFNX5, NADMR, NAMSD, PDCD8, SEMDHL",310490,ENSG00000156709,02161,8768,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
23,9255,SysID_0416,4q24,1,AIMP1,"aminoacyl tRNA synthetase complex interacting multifunctional protein 1","EMAP2, EMAPII, HLD3, SCYE1, p43",603605,ENSG00000164022,04676,10648,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
24,203,SysID_0014,9q34.11,1,AK1,"adenylate kinase 1",HTL-S-58j,103000,ENSG00000106992,00046,361,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Second Drosophila protein proposed on ensemble, but TreeFam is clear. It is a best hit, and much better than the 2nd DM hit for the human protein."
25,10000,SysID_0472,1q43-q44,1,AKT3,"AKT serine/threonine kinase 3","MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2",611223,ENSG00000117020,06441,393,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
26,5832,SysID_0015,10q24.1,1,ALDH18A1,"aldehyde dehydrogenase 18 family member A1","ADCL3, ARCL3A, GSAS, P5CS, PYCS, SPG9, SPG9A, SPG9B",138250,ENSG00000059573,00696,9722,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
27,224,SysID_0016,17p11.2,1,ALDH3A2,"aldehyde dehydrogenase 3 family member A2","ALDH10, FALDH, SLS",609523,ENSG00000072210,07188,403,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
28,7915,SysID_0017,6p22.3,1,ALDH5A1,"aldehyde dehydrogenase 5 family member A1","SSADH, SSDH",610045,ENSG00000112294,08361,408,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
29,56052,SysID_0018,16p13.3,1,ALG1,"ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase","CDG1K, HMAT1, HMT-1, HMT1, MT-1, Mat-1, hMat-1",605907,ENSG00000033011,10437,18294,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
30,79087,SysID_0019,22q13.33,1,ALG12,"ALG12 alpha-1,6-mannosyltransferase","CDG1G, ECM39, PP14673, hALG12",607144,ENSG00000182858,06189,19358,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
31,85365,SysID_0020,9q22.33,1,ALG2,"ALG2 alpha-1,3/1,6-mannosyltransferase","CDG1I, CDGIi, CMS14, CMSTA3, NET38, hALPG2",607905,ENSG00000119523,09716,23159,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
32,10195,SysID_0021,3q27.1,1,ALG3,"ALG3 alpha-1,3- mannosyltransferase","CDG1D, CDGS4, CDGS6, D16Ertd36e, NOT56L, Not56, not",608750,ENSG00000214160,03067,23056,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
33,29929,SysID_0022,1p31.3,1,ALG6,"ALG6 alpha-1,3-glucosyltransferase",CDG1C,604566,ENSG00000088035,05194,23157,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
34,79796,SysID_0023,11q23.1,1,ALG9,"ALG9 alpha-1,2-mannosyltransferase","CDG1L, DIBD1, GIKANIS, LOH11CR1J",606941,ENSG00000086848,09504,15672,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
35,275,SysID_0024,3p21.31,1,AMT,aminomethyltransferase,"GCE, GCST, GCVT, NKH",238310,ENSG00000145020,01997,473,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
36,56172,SysID_0441,5p15.2,1,ANKH,"ANKH inorganic pyrophosphate transport regulator","ANK, CCAL2, CMDJ, CPPDD, HANK, MANK, SLC62A1",605145,ENSG00000154122,05509,15492,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
37,29123,SysID_0427,16q24.3,1,ANKRD11,"ankyrin repeat domain 11","ANCO-1, ANCO1, LZ16, T13",611192,ENSG00000167522,12456,21316,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
38,55129,SysID_0025,3p22.1-p21.33,1,ANO10,"anoctamin 10","SCAR10, TMEM16K",613726,ENSG00000160746,07667,25519,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
39,1174,SysID_0026,7q22.1,1,AP1S1,"adaptor related protein complex 1 subunit sigma 1","AP19, CLAPS1, EKV3, MEDNIK, SIGMA1A",603531,ENSG00000106367,04635,559,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
40,8905,SysID_0027,Xp22.2,1,AP1S2,"adaptor related protein complex 1 subunit sigma 2","DC22, MRX59, MRXS21, MRXS5, MRXSF, PGS, SIGMA1B",300629,ENSG00000182287,04636,560,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
41,8546,SysID_0028,5q14.1,1,AP3B1,"adaptor related protein complex 3 subunit beta 1","ADTB3, ADTB3A, HPS, HPS2, PE",603401,ENSG00000132842,04551,566,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
42,10717,SysID_0410,1p13.2,1,AP4B1,"adaptor related protein complex 4 subunit beta 1","BETA-4, CPSQ5, SPG47",607245,ENSG00000134262,06259,572,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
43,23431,SysID_0411,15q21.2,1,AP4E1,"adaptor related protein complex 4 subunit epsilon 1","CPSQ4, SPG51, STUT1",607244,ENSG00000081014,06258,573,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
44,11154,SysID_0409,14q12,1,AP4S1,"adaptor related protein complex 4 subunit sigma 1","AP47B, CLA20, CLAPS4, CPSQ6, SPG52",607243,ENSG00000100478,06257,575,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
45,54840,SysID_0029,9p21.1,1,APTX,aprataxin,"AOA, AOA1, AXA1, EAOH, EOAHA, FHA-HIT",606350,ENSG00000137074,05892,15984,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
46,10564,SysID_0030,20q13.13,1,ARFGEF2,"ADP ribosylation factor guanine nucleotide exchange factor 2","BIG2, PVNH2, dJ1164I10.1",605371,ENSG00000124198,09250,15853,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
47,9459,SysID_0031,Xq26.3,1,ARHGEF6,"Rac/Cdc42 guanine nucleotide exchange factor 6","COOL2, Cool-2, MRX46, PIXA, alpha-PIX, alphaPIX",300267,ENSG00000129675,02226,685,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
48,8289,SysID_0473,1p36.11,1,ARID1A,"AT-rich interaction domain 1A","B120, BAF250, BAF250a, BM029, C1orf4, CSS2, ELD, MRD14, OSA1, P270, SMARCF1, hELD, hOSA1",603024,ENSG00000117713,04319,11110,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
49,57492,SysID_0466,6q25.3,1,ARID1B,"AT-rich interaction domain 1B","6A3-5, BAF250B, BRIGHT, CSS1, DAN15, ELD/OSA1, MRD12, OSA2, P250R",614556,ENSG00000049618,10660,18040,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
50,200894,SysID_0032,3q11.1-q11.2,1,ARL13B,"ADP ribosylation factor like GTPase 13B","ARL2L1, JBTS8",608922,ENSG00000169379,12334,25419,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: DM gene not in TreeFam tree. Blast gives multiple hits in DM with similar E values. Furthermore only half of the human protein appear homologous to any DM protein."
51,84100,SysID_0033,3q11.2,1,ARL6,"ADP ribosylation factor like GTPase 6","BBS3, RP55",608845,ENSG00000113966,10588,13210,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
52,170302,SysID_0034,Xp21.3,1,ARX,"aristaless related homeobox","CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS",300382,ENSG00000004848,02307,18060,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Bad annotation in TreeFam. Two DM orthologs in Ensembl, more then 10% difference in identity"
53,435,SysID_0035,7q11.21,1,ASL,"argininosuccinate lyase",ASAL,608310,ENSG00000126522,01948,746,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
54,443,SysID_0036,17p13.2,1,ASPA,aspartoacylase,"ACY2, ASP",608034,ENSG00000108381,02033,756,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
55,259266,SysID_0037,1q31.3,1,ASPM,"assembly factor for spindle microtubules","ASP, Calmbp1, MCPH5",605481,ENSG00000066279,08384,19048,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
56,171023,SysID_0424,20q11.21,1,ASXL1,"ASXL transcriptional regulator 1","BOPS, MDS",612990,ENSG00000171456,16516,18318,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
57,477,SysID_0038,1q23.2,1,ATP1A2,"ATPase Na+/K+ transporting subunit alpha 2","FHM2, MHP2",182340,ENSG00000018625,01665,800,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Many (HS) to one (DM), furthermore only the homeobox domain appears conserved"
58,488,SysID_0039,12q24.11,1,ATP2A2,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","ATP2B, DAR, DD, SERCA2",108740,ENSG00000174437,00161,812,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
59,10159,SysID_0040,Xp11.4,1,ATP6AP2,"ATPase H+ transporting accessory protein 2","APT6M8-9, ATP6IP2, ATP6M8-9, CDG2R, ELDF10, HT028, M8-9, MRXE, MRXSH, MSTP009, PRR, RENR, XMRE, XPDS",300556,ENSG00000182220,06454,18305,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
60,23545,SysID_0041,12q24.31,1,ATP6V0A2,"ATPase H+ transporting V0 subunit a2","A2, ARCL, ARCL2A, ATP6A2, ATP6N1D, J6B7, RTF, STV1, TJ6, TJ6M, TJ6S, VPH1, WSS, a2V",611716,ENSG00000185344,16521,18481,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: CG1709 seems closer to ATP6VOA1 than A2, according to treefam fly genes are inparalogs anyway. But decision is that CG1709 can stay, many to many because the family acts in homo and heterocomplexes. Most importantly, this his is the only brain expressed one."
61,538,SysID_0042,Xq21.1,1,ATP7A,"ATPase copper transporting alpha","DSMAX, MK, MNK, SMAX3",300011,ENSG00000165240,02054,869,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
62,545,SysID_0043,3q23,1,ATR,"ATR serine/threonine kinase","FCTCS, FRP1, MEC1, SCKL, SCKL1",601215,ENSG00000175054,08369,882,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
63,546,SysID_0044,Xq21.1,1,ATRX,"ATRX chromatin remodeler","JMS, MRX52, RAD54, RAD54L, XH2, XNP, ZNF-HX",300032,ENSG00000085224,02069,886,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
64,549,SysID_0045,9q22.31,1,AUH,"AU RNA binding methylglutaconyl-CoA hydratase",-,600529,ENSG00000148090,08987,890,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
65,26053,SysID_0474,7q11.22,1,AUTS2,"activator of transcription and developmental regulator AUTS2","FBRSL2, MRD26",607270,ENSG00000158321,06276,14262,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
66,145173,SysID_0046,13q12.3,1,B3GLCT,"beta 3-glucosyltransferase","B3GALTL, B3GTL, B3Glc-T, Gal-T, beta3Glc-T",610308,ENSG00000187676,12513,20207,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
67,2683,SysID_0047,9p21.1,1,B4GALT1,"beta-1,4-galactosyltransferase 1","B4GAL-T1, CDG2D, GGTB2, GT1, GTB, beta4Gal-T1",137060,ENSG00000086062,00659,924,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Based on Treefam many to many"
68,11285,SysID_0048,5q35.3,1,B4GALT7,"beta-1,4-galactosyltransferase 7","EDSP1, EDSSLA, EDSSPD1, XGALT1, XGPT, XGPT1",604327,ENSG00000027847,05060,930,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Based on Treefam one to one"
69,582,SysID_0049,11q13.2,1,BBS1,"Bardet-Biedl syndrome 1",BBS2L2,209901,ENSG00000174483,01950,966,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
70,79738,SysID_0050,12q21.2,1,BBS10,"Bardet-Biedl syndrome 10",C12orf58,610148,ENSG00000179941,08036,26291,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
71,166379,SysID_0051,4q27,1,BBS12,"Bardet-Biedl syndrome 12",C4orf24,610683,ENSG00000181004,08759,26648,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
72,583,SysID_0052,16q13,1,BBS2,"Bardet-Biedl syndrome 2","BBS, RP74",606151,ENSG00000125124,05855,967,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
73,585,SysID_0053,15q24.1,1,BBS4,"Bardet-Biedl syndrome 4",-,600374,ENSG00000140463,08982,969,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
74,129880,SysID_0054,2q31.1,1,BBS5,"Bardet-Biedl syndrome 5",-,603650,ENSG00000163093,10353,970,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
75,55212,SysID_0055,4q27,1,BBS7,"Bardet-Biedl syndrome 7",BBS2L1,607590,ENSG00000138686,07399,18758,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
76,27241,SysID_0056,7p14.3,1,BBS9,"Bardet-Biedl syndrome 9","B1, C18, D1, PTHB1",607968,ENSG00000122507,16262,30000,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
77,593,SysID_0057,19q13.2,1,BCKDHA,"branched chain keto acid dehydrogenase E1 subunit alpha","BCKDE1A, MSU, MSUD1, OVD1A",608348,ENSG00000248098,02009,986,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
78,594,SysID_0058,6q14.1,1,BCKDHB,"branched chain keto acid dehydrogenase E1 subunit beta","BCKDE1B, BCKDH E1-beta, E1B",248611,ENSG00000083123,02011,987,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
79,54880,SysID_0059,Xp11.4,1,BCOR,"BCL6 corepressor","ANOP2, MAA2, MCOPS2",300485,ENSG00000183337,06458,20893,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
80,617,SysID_0060,2q35,1,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone","BCS, BCS1, BJS, FLNMS, GRACILE, Hs.6719, MC3DN1, PTD, h-BCS, h-BCS1",603647,ENSG00000074582,04708,1020,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
81,641,SysID_0061,15q26.1,1,BLM,"BLM RecQ like helicase","BS, MGRISCE1, RECQ2, RECQL2, RECQL3",604610,ENSG00000197299,05211,1058,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
82,673,SysID_0063,7q34,1,BRAF,"B-Raf proto-oncogene, serine/threonine kinase","B-RAF1, B-raf, BRAF1, NS7, RAFB1",164757,ENSG00000157764,01264,1097,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
83,254065,SysID_0064,Xq21.1,1,BRWD3,"bromodomain and WD repeat domain containing 3","BRODL, MRX93",300553,ENSG00000165288,06564,17342,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
84,26580,SysID_0065,11q12.3,1,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin","GNG3LG, HMN5, HMN5C, PELD, SPG17",606158,ENSG00000168000,05858,15832,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
85,701,SysID_0066,15q15.1,1,BUB1B,"BUB1 mitotic checkpoint serine/threonine kinase B","BUB1beta, BUBR1, Bub1A, MAD3L, MVA1, SSK1, hBUBR1",602860,ENSG00000156970,04176,1149,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: It is a 2:2 orthology situation, in which in the human and the fly evolution we observe the same events: duplication followed by loss of the KEN motif/domain in one of the two: BUB1 in human and Bub1 in DM. I would therefore use BUBR1/BUB1B from human as the functional equivalent of BubR1/CG7838 from DM and BUB1 from human as the equivalent of Bub1/CG14030 from DM."
86,65250,SysID_0475,5p13.2,1,CPLANE1,"ciliogenesis and planar polarity effector 1","C5orf42, Hug, JBTS17, OFD6",614571,ENSG00000197603,07822,25801,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
87,760,SysID_0068,8q21.2,1,CA2,"carbonic anhydrase 2","CA-II, CAC, CAII, Car2, HEL-76, HEL-S-282",611492,ENSG00000104267,02023,1373,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
88,775,SysID_0069,12p13.33,1,CACNA1C,"calcium voltage-gated channel subunit alpha1 C","CACH2, CACN2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, TS, TS. LQT8",114205,ENSG00000151067,00246,1390,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
89,8573,SysID_0070,Xp11.4,1,CASK,"calcium/calmodulin dependent serine protein kinase","CAGH39, CAMGUK, CMG, FGS4, LIN2, MICPCH, MRXSNA, TNRC8, hCASK",300172,ENSG00000147044,02164,1497,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Many to one on Treefam"
90,875,SysID_0071,21q22.3,1,CBS,"cystathionine beta-synthase","CBSL, HIP4",613381,ENSG00000160200,01994,1550,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
91,54862,SysID_0072,19p13.12,1,CC2D1A,"coiled-coil and C2 domain containing 1A","Aki-1, FREUD-1, Freud-1/Aki1, Lgd2, MRT3, TAPE",610055,ENSG00000132024,08616,30237,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
92,57545,SysID_0073,4p15.32,1,CC2D2A,"coiled-coil and C2 domain containing 2A","COACH2, JBTS9, MKS6",612013,ENSG00000048342,NULL,29253,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
93,147372,SysID_0404,18q21.32,1,CCBE1,"collagen and calcium binding EGF domains 1",HKLLS1,612753,ENSG00000183287,08703,29426,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
94,124093,SysID_0476,16p13.3,1,CCDC78,"coiled-coil domain containing 78","C16orf25, CNM4, JFP10, hsCCDC78",614666,ENSG00000162004,08174,14153,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
95,440193,SysID_0391,14q32.11-q32.12,1,CCDC88C,"coiled-coil domain containing 88C","DAPLE, HKRP2, HYC1, KIAA1509, SCA40",611204,ENSG00000015133,NULL,19967,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
96,55755,SysID_0074,9q33.2,1,CDK5RAP2,"CDK5 regulatory subunit associated protein 2","C48, Cep215, MCPH3",608201,ENSG00000136861,09740,18672,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
97,6792,SysID_0075,Xp22.13,1,CDKL5,"cyclin dependent kinase like 5","CFAP247, DEE2, EIEE2, ISSX, STK9",300203,ENSG00000008086,02190,11411,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Gene was annotated as conserved, but not investigated because no tool. Martijn: CG7236 is only a very partial hit to CDKL5 furthermore CG7236 is, accoring to Treefam orthologous to CDKL1, and is also most similar to CDKL1 & CDKL4. CG7236 therewith appears a bad candidate to study CDKL5 function & there is no akternative."
98,50937,SysID_0432,11q24.2,1,CDON,"cell adhesion associated, oncogene regulated","CDO, CDON1, HPE11, ORCAM",608707,ENSG00000064309,16372,17104,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
99,55835,SysID_0076,13q12.12-q12.13,1,CENPJ,"centromere protein J","BM032, CENP-J, CPAP, LAP, LIP1, MCPH6, SASS4, SCKL4, Sas-4",609279,ENSG00000151849,09876,17272,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
100,9662,SysID_0477,4q12,1,CEP135,"centrosomal protein 135","CEP4, KIAA0635, MCPH8",611423,ENSG00000174799,11097,29086,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
101,22995,SysID_0421,15q21.1,1,CEP152,"centrosomal protein 152","MCPH4, MCPH9, SCKL5",613529,ENSG00000103995,16778,29298,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
102,80184,SysID_0077,12q21.32,1,CEP290,"centrosomal protein 290","3H11Ag, BBS14, CT87, JBTS5, LCA10, MKS4, NPHP6, POC3, SLSN6, rd16",610142,ENSG00000198707,10856,29021,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
103,95681,SysID_0461,7q32.2,1,CEP41,"centrosomal protein 41","JBTS15, TSGA14",610523,ENSG00000106477,15574,12370,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
104,26047,SysID_0079,7q35-q36.1,1,CNTNAP2,"contactin associated protein 2","AUTS15, CASPR2, CDFE, NRXN4, PTHSL1",604569,ENSG00000174469,05197,13830,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Many (HS) to one (DM) confirmed by Martijn"
105,9382,SysID_0080,17q25.1,1,COG1,"component of oligomeric golgi complex 1","CDG2G, LDLB",606973,ENSG00000166685,07371,6545,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
106,91949,SysID_0081,16p12.2,1,COG7,"component of oligomeric golgi complex 7",CDG2E,606978,ENSG00000168434,07373,18622,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
107,84342,SysID_0082,16q22.1,1,COG8,"component of oligomeric golgi complex 8","CDG2H, DOR1",606979,ENSG00000213380,07374,18623,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
108,1282,SysID_0083,13q34,1,COL4A1,"collagen type IV alpha 1 chain","BSVD, BSVD1, COL4A1s, PADMAL, RATOR",120130,ENSG00000187498,00359,2202,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
109,1284,SysID_0457,13q34,1,COL4A2,"collagen type IV alpha 2 chain","BSVD2, ICH, POREN2",120090,ENSG00000134871,00355,2203,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
